prob_num,title,href,paywall,acceptance_rate,difficulty,uplikes,downlikes,verbosity,category
256,Paint House,/problems/paint-house,PREM,58.3%,MED,1713,118,397,ALG
257,Binary Tree Paths,/problems/binary-tree-paths,FREE,58.2%,EASY,3843,175,110,ALG
258,Add Digits,/problems/add-digits,FREE,62.3%,EASY,2365,1636,173,ALG
259,3Sum Smaller,/problems/3sum-smaller,PREM,50.3%,MED,1207,123,187,ALG
260,Single Number III,/problems/single-number-iii,FREE,67.1%,MED,3746,179,311,ALG
261,Graph Valid Tree,/problems/graph-valid-tree,PREM,45.6%,MED,2259,57,292,ALG
262,Trips and Users,/problems/trips-and-users,FREE,37.6%,HARD,688,447,515,DB
263,Ugly Number,/problems/ugly-number,FREE,41.8%,EASY,1320,1008,139,ALG
264,Ugly Number II,/problems/ugly-number-ii,FREE,45.1%,MED,3843,205,131,ALG
265,Paint House II,/problems/paint-house-ii,PREM,50.4%,HARD,950,32,423,ALG
266,Palindrome Permutation,/problems/palindrome-permutation,PREM,65.2%,EASY,847,63,85,ALG
267,Palindrome Permutation II,/problems/palindrome-permutation-ii,PREM,39.5%,MED,701,83,183,ALG
268,Missing Number,/problems/missing-number,FREE,59.1%,EASY,5103,2811,247,ALG
269,Alien Dictionary,/problems/alien-dictionary,PREM,34.7%,HARD,3431,700,787,ALG
270,Closest Binary Search Tree Value,/problems/closest-binary-search-tree-value,PREM,53.5%,EASY,1381,86,117,ALG
271,Encode and Decode Strings,/problems/encode-and-decode-strings,PREM,37.2%,MED,796,222,511,ALG
272,Closest Binary Search Tree Value II,/problems/closest-binary-search-tree-value-ii,PREM,56.4%,HARD,1012,33,390,ALG
273,Integer to English Words,/problems/integer-to-english-words,FREE,29.5%,HARD,1988,4862,71,ALG
274,H-Index,/problems/h-index,FREE,37.4%,MED,1164,1773,447,ALG
275,H-Index II,/problems/h-index-ii,FREE,36.9%,MED,687,1006,551,ALG
276,Paint Fence,/problems/paint-fence,PREM,42.6%,MED,1221,351,190,ALG
277,Find the Celebrity,/problems/find-the-celebrity,PREM,46.3%,MED,2201,201,1016,ALG
278,First Bad Version,/problems/first-bad-version,FREE,41.3%,EASY,4450,1673,591,ALG
